date,hour,energy_system,price_max,price_min
2019-12-09,16,Бурштинський острів,2190.359,1333.262
2019-12-09,16,ОЕС України,1286.85,783.3
2019-12-09,17,Бурштинський острів,2355.4645,1433.761
2019-12-09,17,ОЕС України,1428.99,869.82
2019-12-09,18,Бурштинський острів,2355.4645,1433.761
2019-12-09,18,ОЕС України,1286.85,783.3
2019-12-09,19,Бурштинський острів,2355.4645,1433.761
2019-12-09,19,ОЕС України,1267.3,771.4
2019-12-09,20,Бурштинський острів,2190.359,1333.262
2019-12-09,20,ОЕС України,1286.85,783.3
2019-12-09,21,Бурштинський острів,2190.359,1333.262
2019-12-09,21,ОЕС України,1206.35,734.3
2019-12-09,22,Бурштинський острів,2190.359,1333.262
2019-12-09,22,ОЕС України,803.459,489.062
2019-12-09,23,Бурштинський острів,1102.9765,671.377
2019-12-09,23,ОЕС України,652.2915,397.047
2019-12-09,24,Бурштинський острів,1102.9765,671.377
2019-12-09,24,ОЕС України,652.2915,397.047
2019-12-10,0,Бурштинський острів,1102.9765,671.377
2019-12-10,0,ОЕС України,652.2915,397.047
2019-12-10,1,Бурштинський острів,1102.9765,671.377
2019-12-10,1,ОЕС України,652.2915,397.047
2019-12-10,2,Бурштинський острів,1102.9765,671.377
2019-12-10,2,ОЕС України,652.2915,397.047
2019-12-10,3,Бурштинський острів,1102.9765,671.377
2019-12-10,3,ОЕС України,652.2915,397.047
2019-12-10,4,Бурштинський острів,1102.9765,671.377
2019-12-10,4,ОЕС України,652.2915,397.047
2019-12-10,5,Бурштинський острів,1102.9765,671.377
2019-12-10,5,ОЕС України,652.2915,397.047
2019-12-10,6,Бурштинський острів,1102.9765,671.377
2019-12-10,6,ОЕС України,652.2915,397.047
2019-12-10,7,Бурштинський острів,1102.9765,671.377
2019-12-10,7,ОЕС України,1102.988,671.384
2019-12-10,8,Бурштинський острів,2190.359,1333.262
2019-12-10,8,ОЕС України,2068.85,1259.3
2019-12-10,9,Бурштинський острів,2190.359,1333.262
2019-12-10,9,ОЕС України,2127.5,1295
2019-12-10,10,Бурштинський острів,2190.359,1333.262
2019-12-10,10,ОЕС України,2068.85,1259.3
2019-12-10,11,Бурштинський острів,2190.359,1333.262
2019-12-10,11,ОЕС України,2127.5,1295
2019-12-10,12,Бурштинський острів,2190.359,1333.262
2019-12-10,12,ОЕС України,1944.65,1183.7
2019-12-10,13,Бурштинський острів,2190.359,1333.262
2019-12-10,13,ОЕС України,2127.5,1295
2019-12-10,14,Бурштинський острів,2190.359,1333.262
2019-12-10,14,ОЕС України,2242.5,1365
2019-12-10,15,Бурштинський острів,2190.359,1333.262
2019-12-10,15,ОЕС України,2126.35,1294.3
2019-12-10,16,Бурштинський острів,2355.4645,1433.761
2019-12-10,16,ОЕС України,2068.85,1259.3
2019-12-10,17,Бурштинський острів,2190.359,1333.262
2019-12-10,17,ОЕС України,2127.5,1295
2019-12-10,18,Бурштинський острів,2190.359,1333.262
2019-12-10,18,ОЕС України,2068.85,1259.3
2019-12-10,19,Бурштинський острів,2190.359,1333.262
2019-12-10,19,ОЕС України,2068.85,1259.3
2019-12-10,20,Бурштинський острів,2355.4645,1433.761
2019-12-10,20,ОЕС України,2068.85,1259.3
2019-12-10,21,Бурштинський острів,2190.359,1333.262
2019-12-10,21,ОЕС України,2127.5,1295
2019-12-10,22,Бурштинський острів,2190.359,1333.262
2019-12-10,22,ОЕС України,1467.4,893.2
2019-12-10,23,Бурштинський острів,1102.9765,671.377
2019-12-10,23,ОЕС України,1102.988,671.384
2019-12-10,24,Бурштинський острів,1102.9765,671.377
2019-12-10,24,ОЕС України,1102.988,671.384
2019-12-11,0,Бурштинський острів,1102.9765,671.377
2019-12-11,0,ОЕС України,1101.7,670.6
2019-12-11,1,Бурштинський острів,1102.9765,671.377
2019-12-11,1,ОЕС України,1101.7,670.6
2019-12-11,2,Бурштинський острів,1102.9765,671.377
2019-12-11,2,ОЕС України,1101.7,670.6
2019-12-11,3,Бурштинський острів,1102.9765,671.377
2019-12-11,3,ОЕС України,1101.7,670.6
2019-12-11,4,Бурштинський острів,1102.9765,671.377
2019-12-11,4,ОЕС України,1101.7,670.6
2019-12-11,5,Бурштинський острів,1102.9765,671.377
2019-12-11,5,ОЕС України,1101.7,670.6
2019-12-11,6,Бурштинський острів,1102.9765,671.377
2019-12-11,6,ОЕС України,1102.988,671.384
2019-12-11,7,Бурштинський острів,1102.9765,671.377
2019-12-11,7,ОЕС України,1102.988,671.384
2019-12-11,8,Бурштинський острів,2190.359,1333.262
2019-12-11,8,ОЕС України,2314.95,1409.1
2019-12-11,9,Бурштинський острів,2190.359,1333.262
2019-12-11,9,ОЕС України,2197.65,1337.7
2019-12-11,10,Бурштинський острів,2190.359,1333.262
2019-12-11,10,ОЕС України,2068.85,1259.3
2019-12-11,11,Бурштинський острів,2190.359,1333.262
2019-12-11,11,ОЕС України,2057.925,1252.65
2019-12-11,12,Бурштинський острів,2190.359,1333.262
2019-12-11,12,ОЕС України,1897.5,1155
2019-12-11,13,Бурштинський острів,2190.359,1333.262
2019-12-11,13,ОЕС України,2041.5375,1242.675
2019-12-11,14,Бурштинський острів,2190.359,1333.262
2019-12-11,14,ОЕС України,2070,1260
2019-12-11,15,Бурштинський острів,2190.359,1333.262
2019-12-11,15,ОЕС України,1897.5,1155
2019-12-11,16,Бурштинський острів,2190.359,1333.262
2019-12-11,16,ОЕС України,1999.275,1216.95
