country,hour,date,direction,volume_bm,price_bm_eur,price_bm_uah,price_marg_eur,price_marg_uah,price_dam_eur,price_dam_uah,volume_dam,rate
UA,12,2025-03-13,down,6.576,17.83794315877107,805.64,17.83794315877107,805.64,64.20986440647944,2900,2753.6,45.1644
UA,12,2025-03-13,up,1126.212,182.665993570157,8250,182.665993570157,8250,64.20986440647944,2900,2753.6,45.1644
UA,13,2025-03-13,down,7.764,21.6668437973271,978.57,21.6668437973271,978.57,64.20986440647944,2900,2732.4,45.1644
UA,13,2025-03-13,up,649.548,182.665993570157,8250,182.665993570157,8250,64.20986440647944,2900,2732.4,45.1644
UA,14,2025-03-13,down,175.03,0.10827111618885672,4.89,0.10827111618885672,4.89,71.95933080036488,3250,2747.8,45.1644
UA,14,2025-03-13,up,158.675,182.665993570157,8250,145.2639689667083,6560.76,71.95933080036488,3250,2747.8,45.1644
UA,15,2025-03-13,down,17.861,87.90109023921495,3970,87.90109023921495,3970,87.90109023921495,3970,2909.6,45.1644
UA,15,2025-03-13,up,40.711,87.90109023921495,3970,87.90109023921495,3970,87.90109023921495,3970,2909.6,45.1644
UA,16,2025-03-13,down,140.304,0.10583556960792127,4.78,0.10583556960792127,4.78,120.5816970888576,5446,3333,45.1644
UA,16,2025-03-13,up,58.398,173.7642922301636,7847.96,173.05134132192612,7815.76,120.5816970888576,5446,3333,45.1644
UA,17,2025-03-13,down,12.108,196.82493291176235,8889.48,196.82493291176235,8889.48,196.82493291176235,8889.48,3506.8,45.1644
UA,17,2025-03-13,up,159.31,196.82493291176235,8889.48,196.82493291176235,8889.48,196.82493291176235,8889.48,3506.8,45.1644
UA,18,2025-03-13,down,9.489,194.84372647483417,8800,194.84372647483417,8800,194.84372647483417,8800,3614.8,45.1644
UA,18,2025-03-13,up,202.848,194.84372647483417,8800,194.84372647483417,8800,194.84372647483417,8800,3614.8,45.1644
UA,19,2025-03-13,down,8.462,122.86601836844947,5549.17,152.3638086634606,6881.42,196.86788709691703,8891.42,3627.2,45.1644
UA,19,2025-03-13,up,162.15,221.41332553958424,10000,221.41332553958424,10000,196.86788709691703,8891.42,3627.2,45.1644
UA,20,2025-03-13,down,238.545,0.10605698293346089,4.79,0.10605698293346089,4.79,196.87917917651956,8891.93,3609.6,45.1644
UA,20,2025-03-13,up,292.297,218.01153120599412,9846.36,218.01153120599412,9846.36,196.87917917651956,8891.93,3609.6,45.1644
UA,21,2025-03-13,down,43.337,7.9128694281336625,357.38,118.24711498436822,5340.56,183.77306019785493,8300,3237.6,45.1644
UA,21,2025-03-13,up,169.778,221.41088999300337,9999.89,221.41088999300337,9999.89,183.77306019785493,8300,3237.6,45.1644
UA,22,2025-03-13,down,180.07,1.5031750670882376,67.89,0.10561415628238167,4.77,143.91866160072976,6500,2881.7,45.1644
UA,22,2025-03-13,up,161.967,217.6003666604671,9827.79,216.9832877221883,9799.92,143.91866160072976,6500,2881.7,45.1644
UA,23,2025-03-13,down,201.749,1.0269150038525918,46.38,0.10583556960792127,4.78,106.27839625900044,4800,2694.9,45.1644
UA,23,2025-03-13,up,123.495,177.26682962687426,8006.15,176.1914251047285,7957.58,106.27839625900044,4800,2694.9,45.1644
UA,0,2025-03-14,down,611.554,0.07399884890679478,3.33,0.07399884890679478,3.33,95.10963162795244,4280,2778.4,45.0007
UA,0,2025-03-14,up,53.142,140.12848689020393,6305.88,139.5264962545027,6278.79,95.10963162795244,4280,2778.4,45.0007
UA,1,2025-03-14,down,537,0.10622056990224596,4.78,0.10622056990224596,4.78,82.39871824216067,3708,2496,45.0007
UA,1,2025-03-14,up,122.035,140.32448384136245,6314.7,139.5267184732682,6278.8,82.39871824216067,3708,2496,45.0007
UA,2,2025-03-14,down,745.35,0.10622056990224596,4.78,0.10622056990224596,4.78,66.66562964576106,3000,2339.3,45.0007
UA,2,2025-03-14,up,265.011,129.00532658380868,5805.33,129.00532658380868,5805.33,66.66562964576106,3000,2339.3,45.0007
UA,3,2025-03-14,down,668.459,0.10622056990224596,4.78,0.10622056990224596,4.78,66.66562964576106,3000,2275,45.0007
UA,3,2025-03-14,up,173.986,115.2675402827067,5187.12,115.2675402827067,5187.12,66.66562964576106,3000,2275,45.0007
UA,4,2025-03-14,down,676.419,0.10622056990224596,4.78,0.10622056990224596,4.78,66.66562964576106,3000,2241.5,45.0007
UA,4,2025-03-14,up,115.774,122.82431162181922,5527.18,122.82431162181922,5527.18,66.66562964576106,3000,2241.5,45.0007
UA,5,2025-03-14,down,526.213,0.10644278866773182,4.79,0.10644278866773182,4.79,72.22109878290782,3250,2301.6,45.0007
UA,5,2025-03-14,up,46.739,138.52117855944462,6233.55,136.94520307461883,6162.63,72.22109878290782,3250,2301.6,45.0007
UA,6,2025-03-14,down,501.215,0.10622056990224596,4.78,0.10622056990224596,4.78,119.99813336236991,5400,3044,45.0007
UA,6,2025-03-14,up,101.004,139.78338114740438,6290.35,138.2465161653041,6221.19,119.99813336236991,5400,3044,45.0007
UA,7,2025-03-14,down,209.459,0.10733166372967531,4.83,0.10733166372967531,4.83,149.7754479374765,6740,3835.7,45.0007
UA,7,2025-03-14,up,4.874,173.44774636838983,7805.27,173.0979740315151,7789.53,149.7754479374765,6740,3835.7,45.0007
UA,8,2025-03-14,down,659.708,0.1057761323712742,4.76,0.1057761323712742,4.76,148.88657287553303,6700,4097.4,45.0007
UA,8,2025-03-14,up,32.068,176.07859433297702,7923.66,176.07859433297702,7923.66,148.88657287553303,6700,4097.4,45.0007
UA,9,2025-03-14,down,574.586,2.222187654858702e-4,0.01,2.222187654858702e-4,0.01,86.53198728019785,3894,3839.5,45.0007
UA,9,2025-03-14,up,102.022,178.69033148373245,8041.19,178.69033148373245,8041.19,86.53198728019785,3894,3839.5,45.0007
UA,10,2025-03-14,down,935.293,2.222187654858702e-4,0.01,2.222187654858702e-4,0.01,64.2212232254165,2890,3524.3,45.0007
UA,10,2025-03-14,up,34.615,165.0669878468557,7428.13,165.0669878468557,7428.13,64.2212232254165,2890,3524.3,45.0007
UA,11,2025-03-14,down,1342.97,2.222187654858702e-4,0.01,2.222187654858702e-4,0.01,48.88812840689145,2200,2987.3,45.0007
UA,11,2025-03-14,up,30.576,147.73236860759943,6648.06,147.73236860759943,6648.06,48.88812840689145,2200,2987.3,45.0007
UA,12,2025-03-14,down,1385.092,2.222187654858702e-4,0.01,2.222187654858702e-4,0.01,9.99984444686416,450,2794.2,45.0007
UA,12,2025-03-14,up,46.453,138.66739850713432,6240.13,138.66739850713432,6240.13,9.99984444686416,450,2794.2,45.0007
