date,country,direction,spread_wave,spread_ave,activation_share,revenue_per_mw
2022-02-28T00:00:00Z,Poland,DOWN,NA,0.6750598328755789,NA,NA
2022-02-28T00:00:00Z,Poland,UP,NA,-0.6750598328755789,NA,NA
2022-03-01T00:00:00Z,Poland,DOWN,NA,3.9096876570152173,NA,NA
2022-03-01T00:00:00Z,Poland,UP,NA,-3.9096876570152173,NA,NA
2022-03-02T00:00:00Z,Poland,DOWN,NA,8.267771074361322,NA,NA
2022-03-02T00:00:00Z,Poland,UP,NA,-8.267771074361322,NA,NA
2022-03-03T00:00:00Z,Poland,DOWN,NA,-10.740288673813872,NA,NA
2022-03-03T00:00:00Z,Poland,UP,NA,10.740288673813872,NA,NA
2022-03-04T00:00:00Z,Poland,DOWN,NA,6.49711984990293,NA,NA
2022-03-04T00:00:00Z,Poland,UP,NA,-6.49711984990293,NA,NA
2022-03-05T00:00:00Z,Poland,DOWN,NA,44.452142611835576,NA,NA
2022-03-05T00:00:00Z,Poland,UP,NA,-44.452142611835576,NA,NA
2022-03-06T00:00:00Z,Poland,DOWN,NA,26.399716817285327,NA,NA
2022-03-06T00:00:00Z,Poland,UP,NA,-26.399716817285327,NA,NA
2022-03-07T00:00:00Z,Poland,DOWN,NA,19.077169106511857,NA,NA
2022-03-07T00:00:00Z,Poland,UP,NA,-19.077169106511857,NA,NA
2022-03-08T00:00:00Z,Poland,DOWN,NA,44.85641116411023,NA,NA
2022-03-08T00:00:00Z,Poland,UP,NA,-44.85641116411023,NA,NA
2022-03-09T00:00:00Z,Poland,DOWN,NA,18.47612751554343,NA,NA
2022-03-09T00:00:00Z,Poland,UP,NA,-18.47612751554343,NA,NA
2022-03-10T00:00:00Z,Poland,DOWN,NA,32.65408664999463,NA,NA
2022-03-10T00:00:00Z,Poland,UP,NA,-32.65408664999463,NA,NA
2022-03-11T00:00:00Z,Poland,DOWN,NA,13.184861564199082,NA,NA
2022-03-11T00:00:00Z,Poland,UP,NA,-13.184861564199082,NA,NA
2022-03-12T00:00:00Z,Poland,DOWN,NA,14.146731302992281,NA,NA
2022-03-12T00:00:00Z,Poland,UP,NA,-14.146731302992281,NA,NA
2022-03-13T00:00:00Z,Poland,DOWN,NA,11.668849308093755,NA,NA
2022-03-13T00:00:00Z,Poland,UP,NA,-11.668849308093755,NA,NA
2022-03-14T00:00:00Z,Poland,DOWN,NA,49.63939739266713,NA,NA
2022-03-14T00:00:00Z,Poland,UP,NA,-49.63939739266713,NA,NA
2022-03-15T00:00:00Z,Poland,DOWN,NA,72.7461199258982,NA,NA
2022-03-15T00:00:00Z,Poland,UP,NA,-72.7461199258982,NA,NA
2022-03-16T00:00:00Z,Poland,DOWN,NA,33.952804616587976,NA,NA
2022-03-16T00:00:00Z,Poland,UP,NA,-33.952804616587976,NA,NA
2022-03-17T00:00:00Z,Poland,DOWN,NA,17.86619673209983,NA,NA
2022-03-17T00:00:00Z,Poland,UP,NA,-17.86619673209983,NA,NA
2022-03-18T00:00:00Z,Poland,DOWN,NA,40.71983876100562,NA,NA
2022-03-18T00:00:00Z,Poland,UP,NA,-40.71983876100562,NA,NA
2022-03-19T00:00:00Z,Poland,DOWN,NA,28.988819994373234,NA,NA
2022-03-19T00:00:00Z,Poland,UP,NA,-28.988819994373234,NA,NA
2022-03-20T00:00:00Z,Poland,DOWN,NA,15.248934697284854,NA,NA
2022-03-20T00:00:00Z,Poland,UP,NA,-15.248934697284854,NA,NA
2022-03-21T00:00:00Z,Poland,DOWN,NA,18.601875416635796,NA,NA
2022-03-21T00:00:00Z,Poland,UP,NA,-18.601875416635796,NA,NA
2022-03-22T00:00:00Z,Poland,DOWN,NA,12.577790907732643,NA,NA
2022-03-22T00:00:00Z,Poland,UP,NA,-12.577790907732643,NA,NA
2022-03-23T00:00:00Z,Poland,DOWN,NA,12.604389052202034,NA,NA
2022-03-23T00:00:00Z,Poland,UP,NA,-12.604389052202034,NA,NA
